=== RECENT LEDGER ENTRIES FOR MERAH ===
[2026-03-31T09:29:13.910266+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined
[2026-03-31T09:23:51.228559+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined
[2026-03-31T09:23:51.228559+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined
[2026-03-31T09:18:29.472181+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined
[2026-03-31T09:18:29.472181+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined
[2026-03-31T09:13:06.902698+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined
[2026-03-31T09:13:06.902698+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined
[2026-03-31T09:07:45.120587+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined
[2026-03-31T09:07:45.120587+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined
[2026-03-31T09:02:22.544672+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined
[2026-03-31T09:02:22.544672+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined
[2026-03-31T08:56:59.66503+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined
[2026-03-31T08:56:59.66503+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined
[2026-03-31T08:51:37.766235+00:00] Event: Production | Ref: undefined | Qty: 1 | Location: undefined

Negative sum after latest audit: -366
